timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1715854567.700042 0.00031932 -0.00029450 -0.01929902 -0.00037856 0.00344673 -0.00035531
1715854567.766722 0.00035083 -0.00030395 -0.02066776 -0.00036592 0.00346538 -0.00034682
1715854567.833401 0.00033925 -0.00028768 -0.01978249 -0.00037953 0.00343134 -0.00035168
1715854567.900080 0.00033713 -0.00028095 -0.01954467 -0.00035604 0.00343029 -0.00034599
1715854567.966764 0.00034167 -0.00026442 -0.01936404 -0.00033966 0.00340334 -0.00035265
1715854568.033448 0.00034110 -0.00025846 -0.01921576 -0.00032485 0.00338168 -0.00036244
1715854568.100132 0.00034130 -0.00025312 -0.01911193 -0.00029839 0.00337147 -0.00036701
1715854568.166816 0.00034273 -0.00024901 -0.01908175 -0.00030166 0.00337069 -0.00036082
1715854568.233499 0.00034376 -0.00024442 -0.01902842 -0.00032612 0.00338418 -0.00036117
1715854568.300183 0.00034377 -0.00023662 -0.01887816 -0.00032237 0.00338622 -0.00034774
1715854568.366866 0.00034574 -0.00023543 -0.01893362 -0.00030061 0.00338652 -0.00034757
1715854568.433550 0.00034708 -0.00023127 -0.01890033 -0.00029109 0.00338794 -0.00034150
1715854568.500234 0.00034764 -0.00022225 -0.01876567 -0.00029096 0.00337933 -0.00033351
1715854568.566918 0.00034715 -0.00021866 -0.01869636 -0.00029992 0.00336259 -0.00033606
1715854568.633602 0.00034532 -0.00021419 -0.01859160 -0.00030480 0.00334092 -0.00033058
1715854568.700285 0.00034661 -0.00021150 -0.01861837 -0.00030132 0.00333339 -0.00032632
1715854568.766969 0.00034520 -0.00020926 -0.01852927 -0.00029764 0.00332664 -0.00032710
1715854568.833653 0.00034399 -0.00020664 -0.01845730 -0.00028858 0.00332037 -0.00031862
1715854568.900337 0.00034575 -0.00020414 -0.01849541 -0.00029298 0.00332933 -0.00031126
1715854568.967022 0.00034528 -0.00020165 -0.01842692 -0.00029400 0.00333597 -0.00030214
1715854569.033707 0.00034648 -0.00019906 -0.01843609 -0.00028882 0.00334409 -0.00029258
1715854569.100392 0.00034509 -0.00019771 -0.01834874 -0.00028452 0.00334713 -0.00029228
1715854569.167076 0.00034514 -0.00019716 -0.01833752 -0.00028182 0.00334686 -0.00028856
1715854569.233762 0.00034164 -0.00020567 -0.01823449 -0.00028134 0.00334957 -0.00028769
1715854569.300447 0.00034407 -0.00020583 -0.01834250 -0.00026880 0.00335312 -0.00028916
1715854569.367132 0.00034364 -0.00020641 -0.01825385 -0.00025978 0.00335512 -0.00027900
1715854569.433817 0.00034218 -0.00022159 -0.01816921 -0.00025377 0.00334744 -0.00027083
1715854569.500502 0.00034833 -0.00022724 -0.01820366 -0.00024554 0.00334461 -0.00025781
1715854569.567187 0.00035412 -0.00023312 -0.01821082 -0.00025309 0.00335183 -0.00025412
1715854569.633872 0.00035338 -0.00023188 -0.01821218 -0.00026313 0.00335302 -0.00025478
1715854569.700557 0.00035027 -0.00023697 -0.01817085 -0.00025834 0.00335162 -0.00025135
1715854569.767243 0.00035359 -0.00023802 -0.01820186 -0.00025896 0.00335455 -0.00025580
1715854569.833928 0.00035225 -0.00024202 -0.01814074 -0.00026022 0.00335122 -0.00025159
1715854569.900613 0.00035135 -0.00024400 -0.01817797 -0.00025051 0.00335334 -0.00024464
1715854569.967298 0.00034763 -0.00024837 -0.01810871 -0.00024748 0.00336089 -0.00024647
1715854570.033981 0.00034599 -0.00025056 -0.01811446 -0.00024354 0.00335697 -0.00024838
1715854570.100666 0.00034073 -0.00025559 -0.01806990 -0.00023414 0.00334540 -0.00024333
1715854570.167350 0.00034118 -0.00025909 -0.01810781 -0.00023283 0.00334154 -0.00024262
1715854570.234035 0.00033688 -0.00026530 -0.01804796 -0.00022995 0.00333884 -0.00024426
1715854570.300719 0.00033767 -0.00026771 -0.01808526 -0.00022912 0.00333496 -0.00024231
1715854570.367403 0.00033017 -0.00027748 -0.01803886 -0.00023400 0.00333123 -0.00024779
1715854570.434088 0.00034376 -0.00027446 -0.01810495 -0.00022943 0.00333069 -0.00024788
1715854570.500771 0.00034712 -0.00027395 -0.01808686 -0.00022654 0.00333153 -0.00024603
1715854570.567456 0.00034740 -0.00027999 -0.01807129 -0.00022751 0.00332979 -0.00024795
1715854570.634140 0.00035545 -0.00028223 -0.01808723 -0.00021784 0.00332635 -0.00024455
1715854570.700825 0.00036485 -0.00027027 -0.01820352 -0.00021533 0.00332925 -0.00024776
1715854570.767509 0.00040071 -0.00025988 -0.01809781 -0.00021795 0.00333200 -0.00024660
1715854570.834194 0.00040182 -0.00025923 -0.01808149 -0.00021254 0.00333063 -0.00024167
1715854570.900877 0.00041103 -0.00025173 -0.01813439 -0.00021435 0.00332989 -0.00024343
1715854570.967561 0.00041953 -0.00024057 -0.01813847 -0.00021722 0.00332840 -0.00024474
1715854571.034245 0.00041700 -0.00025182 -0.01806790 -0.00021803 0.00332889 -0.00024134
1715854571.100930 0.00042500 -0.00023743 -0.01820857 -0.00022068 0.00332992 -0.00024417
1715854571.167614 0.00043401 -0.00020682 -0.01816750 -0.00022568 0.00333190 -0.00024660
1715854571.234298 0.00043471 -0.00019611 -0.01816198 -0.00022543 0.00333409 -0.00024239
1715854571.300982 0.00042937 -0.00019526 -0.01808725 -0.00021806 0.00333171 -0.00024298
1715854571.367666 0.00043318 -0.00019266 -0.01814123 -0.00021115 0.00332975 -0.00024398
1715854571.434350 0.00043582 -0.00017825 -0.01818012 -0.00021030 0.00332843 -0.00024333
1715854571.501034 0.00042592 -0.00017047 -0.01814237 -0.00020907 0.00332545 -0.00024565
1715854571.567718 0.00041749 -0.00016279 -0.01814405 -0.00020884 0.00332391 -0.00024526
1715854571.634403 0.00040670 -0.00015562 -0.01814163 -0.00020730 0.00332220 -0.00024316
1715854571.701087 0.00039917 -0.00014504 -0.01815424 -0.00020328 0.00332187 -0.00024334
1715854571.767771 0.00039173 -0.00014154 -0.01812023 -0.00019770 0.00332054 -0.00024684
1715854571.834454 0.00039506 -0.00012847 -0.01817171 -0.00019566 0.00331714 -0.00024996
